Substance,EDGAR Country Code,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CO2,ABW,Aruba,0.081876039,0.081889198,0.09541547,0.099630226,0.089089128,0.105138525,0.096041089,0.105305481,0.106662133,0.10083011,0.102090844,0.103576037,0.094350301,0.098185198,0.114770494,0.112121105,0.110246305,0.114516835,0.42266725,0.517170845,0.524847233,0.620443103,0.720163097,0.691391373,0.757695903,0.814651891,0.544439618,0.831664421,0.832855653,0.879120942,0.943343227,0.969337836,0.987977455,1.280156225,1.329434161,1.368960718,1.330679891,1.361390293,1.280767201,1.379071656,1.332394776,1.266664978,1.6184407,1.588689037,1.615728022,1.607878965,1.578643552,1.315457933,1.34759437,1.387155767,1.144333464,1.274133858
CO2,AFG,Afghanistan,1.739541352,1.737823132,1.715748742,1.742813406,2.198551191,2.037627184,1.899895303,2.28885343,1.940763078,2.066211287,2.016267512,2.269085822,2.31918955,3.010081344,3.229588188,4.128132867,3.950681648,3.274469111,3.098430747,2.906891893,2.910441705,2.778889889,1.696297398,1.626566078,1.555482855,1.380337779,1.353127533,1.337145683,1.34763173,1.305541142,1.07964063,0.993244455,0.985183968,1.068472148,0.957256064,1.316140323,1.471212077,2.046648093,4.068388197,6.665939634,8.086217099,11.91889826,10.23806382,8.484182855,8.016290063,8.361848549,7.635914356,8.145254857,9.106997338,8.082723558,8.183717873,8.347669018
CO2,AGO,Angola,8.952569897,8.538308076,10.38851943,11.3723013,11.83376052,10.93042348,7.317384633,12.05777408,14.23923396,14.20437267,14.34203203,13.25576752,12.79529903,13.25128225,13.38997,14.14074524,14.28949059,14.55459006,15.00527297,15.1682025,11.29819684,11.85103573,12.19636571,12.2136513,11.56831909,13.03968868,15.77312562,16.50057964,17.13805539,18.13438462,16.61483677,16.29451563,16.03663527,17.45020807,17.81594524,15.97626284,16.73487327,17.24714234,19.50103338,21.32235658,22.97375774,23.86463597,24.18684342,27.82232537,30.40784428,32.59413004,30.69166007,26.12988244,24.04861936,25.32599422,23.05584383,24.4500572
CO2,AIA,Anguilla,0.002168292,0.002168325,0.002263753,0.002108963,0.002350261,0.00258403,0.002434477,0.002537065,0.002901614,0.003213011,0.004412635,0.006639773,0.007018853,0.006088891,0.005801136,0.003670826,0.003154646,0.006125876,0.005797213,0.006148498,0.006114424,0.00757944,0.007902936,0.009952196,0.01313127,0.016395665,0.016213344,0.013563752,0.012448764,0.011750832,0.015531534,0.015910759,0.010858915,0.014107818,0.01347189,0.013661616,0.012812443,0.012354729,0.015268477,0.020160958,0.024004496,0.026008055,0.026023228,0.027940512,0.027896061,0.028005426,0.028339881,0.029062445,0.028222994,0.027579993,0.022779488,0.02540872
CO2,AIR,International Aviation,169.3009966,169.3009966,179.1474871,186.8920964,179.7933309,173.8660196,174.2737906,190.0689782,197.2226278,203.975128,202.8078889,202.0679932,209.3484682,211.18745,219.1253968,225.1561683,247.3909532,261.5637429,276.3667128,290.2966454,258.9937813,251.9009032,260.0678582,265.0220847,278.5835702,289.1034251,300.8476628,315.6077036,326.2430757,340.1420871,352.6288292,346.1280979,366.7032383,364.670144,393.9046399,418.8387904,434.1486542,448.0634932,455.8999822,434.2054923,458.2050418,472.1124083,472.7211187,480.9091262,496.6276965,524.6540345,548.2077774,582.2304897,609.6304686,617.7632293,338.1440834,390.1662501
CO2,ALB,Albania,4.814515897,4.814828456,5.498804171,4.939869167,5.319745594,5.414438039,5.785732926,6.197669557,6.820000839,7.92553165,8.064026493,7.067243178,7.270542817,7.78695563,8.423368342,8.067779922,8.146748228,8.292821418,8.196745287,7.895754379,6.653017711,4.437321935,2.41983035,2.274800626,2.387156417,2.111883785,2.101389009,1.628675271,1.955472993,3.129668266,3.273583452,3.482386303,4.041511253,4.245990448,4.450978888,4.213394304,4.17413324,4.283612251,4.239339948,4.3343489,4.616941479,5.014835957,4.574328127,4.811344923,5.13469704,4.916119404,4.619507538,5.346925226,5.314989374,5.038618199,4.706920416,4.591114338
CO2,ANT,Curaçao,14.51855431,14.51859953,14.11742363,15.61150888,14.12685319,10.19964277,10.85204162,10.98611352,9.274783961,9.185450818,8.680745422,8.04514126,7.299405563,6.831990921,6.693820359,4.502352018,4.300246278,3.968520287,3.462606092,2.961972374,2.669740744,2.769183631,2.887051446,2.370630743,2.669020721,2.675311348,2.703858225,5.306248248,5.479967561,5.448928342,5.670774765,5.708320443,5.462663348,5.478869426,5.72111972,6.032133779,5.938910251,6.451498312,6.385706041,5.986874406,4.435001736,5.683816159,5.130824005,4.685495472,5.258290891,5.311484306,4.549638271,3.619473578,2.87702226,2.210519648,1.831085097,2.035324074
CO2,ARE,United Arab Emirates,19.43756412,25.40410771,27.71876051,35.80620549,35.97103927,36.64226214,45.53870802,45.83584736,52.58015412,37.85409575,41.12068213,38.04754102,38.06950287,36.80370341,49.99747044,51.83295449,50.25312075,52.0889074,51.00924841,56.95163379,56.90141795,64.72988224,62.52928668,65.92917512,72.5900932,77.43145142,80.9257427,84.33997713,86.52315643,89.21417647,88.52142484,101.3374676,103.6134023,108.9177807,115.1268254,122.5766723,127.3311073,137.3051611,164.3997636,165.5112675,172.1227854,176.4191189,186.0552726,195.6090104,197.236888,207.7954258,212.5602708,208.6861086,187.9170284,199.2888538,189.3380243,193.5069399
CO2,ARG,Argentina,88.32100897,88.76510026,90.71640836,93.69846153,93.98721087,91.41146426,96.02960968,100.0675996,99.33634045,104.9420628,102.450479,99.22779404,98.41560186,101.7460357,101.3134928,94.54639568,101.925374,107.6048782,111.4372962,107.9846552,100.664657,106.0084044,108.350133,112.1354731,115.8775676,118.0037599,128.9153556,133.4032205,140.1071616,142.5339798,139.4295552,133.8159907,125.8876752,139.7653609,154.9127129,158.6853433,168.0729357,177.6406868,183.3161281,168.779385,180.945731,189.9853706,191.7743757,198.1513627,195.9526351,199.4173854,197.3833132,194.2575883,192.0351295,183.1722982,171.8632498,189.0020275
CO2,ARM,Armenia,10.88193817,10.90272002,11.70577898,12.7501401,13.78849833,15.15954421,15.65536444,16.24222168,16.84661039,17.50414419,18.61011885,18.99946513,19.51230776,19.60817837,19.70445414,19.9432668,20.08724606,20.34248751,20.37195502,20.02937212,20.70145224,21.5618514,11.00492397,5.180057133,2.883970355,3.618804068,2.675833968,3.432446478,3.563045191,3.199747008,3.663461023,3.730356885,3.198637944,3.572115114,3.837753247,4.546648011,4.585190121,5.300082323,5.802199258,4.663656638,4.470290281,5.098676744,5.87781248,5.565062423,5.556373289,5.414477256,5.159294243,5.453925082,5.771485729,6.258425349,6.376822658,6.769803499
