This tab has one table with the air quality (micrograms of PM2.5 per cubic metre) from 2017-18 to 2022-23 for 81 monitoring sites around Australia. It ranges from cell A1 to H92.,Measuring What Matters,,,,,,,,,,,,,,,,
Table 1 Air quality (micrograms of PM2.5 per cubic metre) 2017-18 to 2022-23.,,,,,,,,,,,,,,,,,
"Custom data request supplied by Department of Climate Change, Energy, the Environment and Water, July 2024",,,,,,,,,,,,,,,,,
,,Micrograms of PM2.5 per cubic metre,,,,,,,,,,,,,,,
Jurisdiction,Monitoring station location ,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,,,,,,,,,,
Western Australia,Armadale (South East Metro),ND,ND,ND,ND,6.2,6.8,,,,,,,,,,
Western Australia,Caversham (North East Metro),8.5,8,8,7.8,6.9,6.4,,,,,,,,,,
Western Australia,Duncraig (North Metro),8.2,7.7,7.7,6.3,6.7,4.8,,,,,,,,,,
Western Australia,Quinns Rocks (Outer North Coast),7.8,ND,ND,5.4,9.7,11,,,,,,,,,,
Western Australia,South Lake (South East Metro),8.7,8.4,8.4,7.2,7.6,7.2,,,,,,,,,,
Western Australia,Mandurah (Peel region),ND,ND,ND,10,6.7,7,,,,,,,,,,
Western Australia,Albany (Southwest region),ND,ND,ND,ND,ND,4,,,,,,,,,,
Western Australia,Bunbury (Southwest region),8.7,8.4,8.4,7.9,6.5,6.5,,,,,,,,,,
Western Australia,Busselton (Southwest region),8.2,7.9,7.9,8.1,8.4,8.7,,,,,,,,,,
Western Australia,Collie (Southwest region),ND,ND,ND,ND,5.4,11.4,,,,,,,,,,
Western Australia,Geraldton (Midwest region),ND,ND,ND,8,7,4.2,,,,,,,,,,
Western Australia,Kalgoorlie (Goldfields region),ND,5.1,5.1,4.7,4,4.2,,,,,,,,,,
Northern Territory ,Katherine,ND,ND,ND,7.8,9.6,11.8,,,,,,,,,,
Northern Territory ,Palmerston (Darwin),7.3,8.7,9.8,7,8.5,8.6,,,,,,,,,,
Northern Territory ,Stokes Hill (Darwin),7.3,8.3,9.2,6.4,6.2,5.8,,,,,,,,,,
Northern Territory ,Winnellie (Darwin),6.7,9.1,8.9,6.5,10.7,10.3,,,,,,,,,,
Tasmania,Hobart,5.7,5.5,6.5,5.9,5.3,5.7,,,,,,,,,,
Tasmania,Launceston,8.6,7.9,7.6,7.5,6.6,6.9,,,,,,,,,,
Tasmania,Devonport,6.7,6.6,7,6.2,5.8,5.5,,,,,,,,,,
Australian Capital Territory ,Florey,ND,7.1,14.8,16.9,6.2,5,,,,,,,,,,
Australian Capital Territory ,Monash,ND,6.8,14.1,17.8,6.8,5.3,,,,,,,,,,
Australian Capital Territory ,Civic,ND,6.5,12.8,ND,ND,ND,,,,,,,,,,
Queensland ,Mountain Creek (SE Qld),ND,ND,ND,ND,5.7*,6,,,,,,,,,,
Queensland ,Rocklea (SE Qld),7.3,6.4,8.7,6,4.6,6.1*,,,,,,,,,,
Queensland ,Springwood (SE Qld),5.4,5.9,6.7,4.7,4.8,5.6*,,,,,,,,,,
Queensland ,Southport (SE Qld),ND,6.5,8.3,5.3,4.6,4.1,,,,,,,,,,
Queensland ,Flinders View (SE Qld) ,ND,ND,ND,ND,5.9*,5.6,,,,,,,,,,
Queensland ,Toowoomba,ND,ND,ND,ND,ND,12.1,,,,,,,,,,
Queensland ,South Gladstone,5.6,5.5,6.4,5.6,5,11,,,,,,,,,,
Queensland ,West Mackay,ND,ND,ND,5.9,5.7,16.7,,,,,,,,,,
Queensland ,North Ward (Townsville),ND,5.6,7,5.8,5.8,15.2,,,,,,,,,,
Queensland ,The Gap (Mount Isa),ND,ND,ND,ND,ND,13.4,,,,,,,,,,
New South Wales,Bargo (Sydney) ,ND,6.8,10.4,7.8,5.3,3.7,,,,,,,,,,
New South Wales,Bringelly (Sydney) ,7.5,8,11.3,8.5,7.2,5.1,,,,,,,,,,
